County,Baseball,Basketball,Football,Golf,Softball,Soccer,Track,Volleyball
Alachua,"2,134","2,972","3,812","1,373","2,134","1,754","2,134","1,754"
Baker,"3,090","3,630","4,350",N/A,"3,090",N/A,"2,060","2,470"
Bay,"3,448","3,448",0,"2,068.80","3,448","3,448","3,448","3,448"
Bradford,"3,740","3,740","5,100","2,720","3,740","2,720","3,740","3,740"
Brevard,"2,918","2,918","3,742","1,572","2,918","2,918","2,918","2,918"
Broward,"2,169","2,604","3,038","1,185","2,169","2,169","2,169","1,579"
Calhoun,"3,147.50","3,462.25","4,960","1,573.75","3,147.50",N/A,"2,518","2,750"
Charlotte,"3,719.87","3,719.87","4,650","2,481.15","3,719.87","3,098.65","3,098.65","3,098.65"
Citrus,"2,400","2,400","3,530","1,700","2,400","2,400","2,400","2,400"
Clay,"4,200","4,760","6,370","2,275","3,500","3,500","3,500","3,500"
Collier,"4,040","4,848","6,464","2,020","4,040","3,232","3,232","2,424"
Columbia,"2,450","2,450","3,355","1,250","2,450","2,450","2,000","2,450"
DeSoto,"3,137","3,137","3,838","1,743","3,137","3,137","2,268","3,137"
Dixie,"2,360","2,360","4,700",N/A,"2,360",N/A,N/A,"2,030"
Duval,"2,520","3,150","4,699","1,286","2,520","2,520","2,520","2,520"
Escambia,"3,670","4,003","5,714","1,919","3,670","3,670","3,670","3,670"
Flagler,"3,500","3,500","4,500","2,500","3,500","3,500","3,500","3,500"
Franklin,"2,966","3,296","4,614","1,648","2,966","2,637","1,978","2,966"
Gadsden,"1,855","2,782","3,091","1,236","1,855","1,855","1,855","1,855"
Gilchrist,"2,800","3,500","3,500",865,"2,800",N/A,"1,109","2,163"
Glades,"3,400","3,400","4,250","1,904","3,400","3,400","3,400","3,400"
Gulf,"3,125","3,450","3,750",N/A,"3,125","1,875","3,125","1,875"
Hamilton,"2,060","2,575","3,605",824,"2,060","2,060","1,905","2,060"
Hardee,"3,496","3,857","5,886","2,125","3,496","3,160","3,160","3,160"
Hendry,"2,909.05","4,073.40","4,584","2,485.65","2,909.05","2,909.05","2,909.05","2,909.05"
Hernando,"2,468","2,468","3,985","1,401","2,468","2,468","2,468","2,468"
Highlands,"3,850","3,850","5,600","1,575","3,850","3,150","3,150","3,150"
Hillsborough,"2,243","2,749","3,736","1,000","2,243","1,837","2,120","1,997"
Holmes,"3,150","4,095","5,355",630,"3,150",N/A,N/A,"2,520"
Indian River,"3,003","4,733","5,957","1,801","3,003","3,003","3,003","3,003"
Jackson,"2,838","3,003","4,290",792,"2,838","2,838","1,815","2,838"
Jefferson,"2,218.13","2,218.13","2,730",N/A,"2,218.13",N/A,"1,876.88","1,365"
Lafayette,"3,005","3,903","4,505","1,652","3,005","3,005","1,652","3,005"
Lake,"2,514","3,022","3,632","1,334","2,514","2,514","2,219","2,147"
Lee,"2,205","2,315","4,085","1,271","2,205","2,205","2,205","2,205"
Leon,"3,324","3,324","4,432","2,216","3,324","3,324","3,324","3,324"
Levy,"2,000","2,500","3,300","1,000","2,000","1,000","1,000","1,800"
Liberty,"3,000","3,000","5,700",N/A,"3,000",N/A,"2,000","3,000"
Madison,"2,893","2,893","4,339",N/A,"2,893",N/A,"2,893","2,893"
Manatee,"3,499","3,829","4,500","2,625","3,499","3,310","3,310","2,757"
Marion,"2,860","5,000","5,000","1,760","2,860","1,760","2,090","1,760"
Martin,"4,262.40","5,901.50","5,902","2,508.60","4,262.40","4,262.40","3,470.60","4,262.40"
Miami-Dade,"2,860","2,860","4,610","1,650","2,860","2,860","2,860","2,860"
Monroe,"3,527","3,527","5,852","3,527","3,527","3,527","3,527","3,527"
Nassau,"3,010","3,440","4,751","1,924","3,010","2,737","2,748","2,737"
Okaloosa,"3,908","5,340",0,"2,239","3,908","2,239","2,239","2,239"
Okeechobee,"3,200","3,200","5,000","1,600","3,200","2,900","2,700","3,200"
Orange,"2,261","2,530","3,162","1,170","2,261","2,261","2,261","1,834"
Osceola,"3,080","3,850","3,850","1,732","3,080","2,118","3,080","2,118"
Palm Beach,"3,275","4,110","4,110","1,925","3,275","3,275","3,275","3,275"
Pasco,"2,387","3,031","4,476","1,469","2,387","2,387","2,387","2,387"
Pinellas,"1,918","2,158","2,758","1,031","1,918","1,439","1,918","1,918"
Polk,"2,426","2,055","3,974","1,279","2,426","2,055","2,055","2,055"
Putnam,"1,994","1,994","3,500","1,341","1,994","1,994","1,994","1,994"
Santa Rosa,"2,534.88","2,957.32","3,380","1,689.92","2,534.88","2,534.88","2,957.32","2,534.88"
Sarasota,"3,553.57","3,740.60","4,489","2,431.39","3,553.57","2,618.42","2,992.48","2,618.42"
Seminole,"2,704","3,119","3,534","1,872","2,704","3,119","2,704","1,872"
St. Johns,"3,136","3,136","4,551","1,960","3,136","2,744","2,744","2,744"
St. Lucie,"3,120","3,120","3,600","1,440","3,120","3,120","2,880","3,120"
Sumter,"2,185","2,185","2,935",935,"2,185","1,535","1,435","1,535"
Suwannee,"2,500","2,500","4,300","1,400","2,500","2,500","2,500","2,500"
Taylor,"3,454","3,454","4,396","2,512","3,140","3,454","2,512","2,512"
Union,"2,222","2,222","3,839",909,"2,222",N/A,"1,718","2,222"
Volusia,"2,733","4,011","4,011","2,467","2,733","2,733","2,733","2,733"
Wakulla,"3,600","3,600","5,400","2,160","3,600","3,600","3,600","3,600"
Walton,"3,600","4,500",0,"1,500","3,600","3,600","3,300","3,900"
Washington,"3,336","3,336","5,704","2,168","3,336","2,168","2,168","3,336"